# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 258 and 259; PDF pages 268 and 269; Figures 161, 162, and 163
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure
monohull,free,sinkage_over_draught,16,831.00,2865.00,0.247439,0.0145669,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,17,843.00,2828.00,0.253202,0.0233071,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,18,852.00,2798.00,0.257524,0.0303937,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,19,883.00,2798.00,0.272412,0.0303937,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,20,916.00,2791.00,0.288260,0.0320472,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,21,935.00,2770.00,0.297385,0.0370079,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,22,947.00,2784.00,0.303148,0.0337008,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,23,967.00,2727.00,0.312753,0.0471654,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,24,983.00,2767.00,0.320438,0.0377165,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,25,992.00,2749.00,0.324760,0.0419685,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,26,997.00,2706.00,0.327161,0.0521260,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,27,1017.00,2752.00,0.336766,0.0412598,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,28,1042.00,2745.00,0.348773,0.0429134,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,29,1046.00,2696.00,0.350694,0.0544882,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,30,1052.00,2713.00,0.353575,0.0504724,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,31,1071.00,2681.00,0.362700,0.0580315,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,32,1098.00,2647.00,0.375667,0.0660630,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,33,1108.00,2663.00,0.380470,0.0622835,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,34,1119.00,2633.00,0.385752,0.0693701,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,35,1144.00,2609.00,0.397759,0.0750394,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,36,1167.00,2591.00,0.408805,0.0792913,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,37,1168.00,2612.00,0.409285,0.0743307,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,38,1191.00,2570.00,0.420331,0.0842520,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,39,1214.00,2539.00,0.431377,0.0915748,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,40,1227.00,2589.00,0.437620,0.0797638,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,41,1236.00,2549.00,0.441942,0.0892126,dimensionless,0.003,0.00100,162
