attitude,configuration,observable,figure,mismatch,resolution,x_px,y_px
free,s_l_0_2,ct,165,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1198.841,867.870
free,s_l_0_2,ct,165,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1206.184,815.720
free,s_l_0_2,ct,165,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1243.149,651.522
free,s_l_0_2,ct,165,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1256.681,589.413
free,s_l_0_2,ct,165,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1266.444,499.851
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1372.380,406.150
free,s_l_0_2,cwp,167,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,705.000,1500.000
free,s_l_0_2,cwp,167,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,826.000,1438.000
free,s_l_0_2,cwp,167,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,848.000,1418.000
free,s_l_0_2,cwp,167,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,887.000,1463.000
free,s_l_0_2,cwp,167,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1008.000,1316.000
free,s_l_0_2,cwp,167,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1082.000,1361.000
free,s_l_0_2,cwp,167,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1100.000,1365.000
free,s_l_0_2,cwp,167,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1133.000,1343.000
free,s_l_0_2,cwp,167,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1150.000,1283.000
free,s_l_0_2,cwp,167,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1217.114,1130.037
free,s_l_0_2,cwp,167,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1238.176,1200.117
free,s_l_0_2,cwp,167,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1261.848,1209.806
free,s_l_0_2,cwp,167,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1285.476,1127.084
free,s_l_0_2,cwp,167,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1306.509,1107.927
free,s_l_0_2,cwp,167,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1354.192,1083.747
free,s_l_0_2,cwp,167,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1396.310,1115.293
