configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	CT	uncertainty_Fn	uncertainty_CT	quality
C2-free-SL0.5	177	276	266	CT	957.955	1136.862	0.310090	0.00628466	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	986.174	1149.491	0.323534	0.00618546	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1005.428	1149.633	0.332708	0.00618435	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1020.460	1150.435	0.339870	0.00617804	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1049.271	1118.694	0.353597	0.00642738	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1075.202	1091.516	0.365951	0.00664088	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1096.963	1026.026	0.376319	0.00715533	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1140.828	915.518	0.397218	0.00802342	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1161.748	876.125	0.407185	0.00833288	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1166.516	850.773	0.409457	0.00853203	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1213.794	773.905	0.431982	0.00913586	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1234.032	735.101	0.441625	0.00944068	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1269.401	708.886	0.458476	0.00964661	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1279.663	734.296	0.463365	0.00944701	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1303.542	710.656	0.474742	0.00963271	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1343.777	720.885	0.493912	0.00955236	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1365.776	692.230	0.504393	0.00977745	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1393.465	740.059	0.517585	0.00940174	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1444.998	777.590	0.542138	0.00910691	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
