configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	sinkage_over_draught	uncertainty_Fn	uncertainty_sinkage_over_draught	quality
C2-free-SL0.3	170	272	262	sinkage_over_draught	937.449	2709.165	0.292285	0.0424613	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	969.544	2696.167	0.307658	0.0455077	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1005.748	2676.761	0.324999	0.0500560	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1018.834	2676.723	0.331267	0.0500650	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1051.255	2621.755	0.346796	0.0629480	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1093.853	2564.048	0.367199	0.0764732	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1122.860	2517.020	0.381093	0.0874954	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1135.394	2470.111	0.387097	0.0984895	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1175.014	2423.057	0.406074	0.1095178	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1228.963	2392.000	0.431914	0.1167968	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1284.235	2414.506	0.458388	0.1115219	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1314.715	2417.618	0.472987	0.1107927	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1324.762	2452.067	0.477800	0.1027186	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1341.513	2443.812	0.485823	0.1046533	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1443.090	2567.986	0.534476	0.0755501	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1482.559	2599.460	0.553381	0.0681733	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1505.631	2626.399	0.564432	0.0618596	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1569.294	2671.085	0.594925	0.0513864	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1646.413	2700.502	0.631864	0.0444917	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
