configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	CT	uncertainty_Fn	uncertainty_CT	quality
C2-fixed-SL0.4	141	257	247	CT	1335.269	886.277	0.477085	0.00844734	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1351.996	879.715	0.485097	0.00849910	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1376.360	901.168	0.496766	0.00832990	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1418.341	916.842	0.516874	0.00820629	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1493.877	956.473	0.553054	0.00789374	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1558.390	984.663	0.583955	0.00767142	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1563.227	995.479	0.586271	0.00758613	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1624.548	1014.762	0.615643	0.00743405	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1637.534	1016.983	0.621863	0.00741654	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1699.752	1051.324	0.651664	0.00714571	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1743.332	1045.598	0.672538	0.00719087	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1768.718	1076.758	0.684697	0.00694512	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1836.983	1076.352	0.717395	0.00694833	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
