# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 266 and 267; PDF pages 276 and 277; Figures 177, 178, and 179
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure
s_l_0_5,free,trim,30,1538.18,2509.01,0.592169,2.5727020,degree,0.003,0.03000,178
s_l_0_5,free,trim,31,1614.64,2503.50,0.628732,2.6116938,degree,0.003,0.03000,178
s_l_0_5,free,trim,32,1618.22,2523.74,0.630443,2.4684137,degree,0.003,0.03000,178
s_l_0_5,free,trim,33,1618.50,2563.38,0.630579,2.1876976,degree,0.003,0.03000,178
s_l_0_5,free,trim,34,1696.28,2513.63,0.667777,2.5400102,degree,0.003,0.03000,178
s_l_0_5,free,trim,35,1734.95,2493.23,0.686266,2.6844590,degree,0.003,0.03000,178
s_l_0_5,free,trim,36,1735.18,2474.25,0.686376,2.8188087,degree,0.003,0.03000,178
s_l_0_5,free,trim,37,1771.53,2507.61,0.703763,2.5825926,degree,0.003,0.03000,178
s_l_0_5,free,trim,38,1848.15,2492.03,0.740401,2.6929436,degree,0.003,0.03000,178
s_l_0_5,free,trim,39,1848.93,2467.85,0.740773,2.8641937,degree,0.003,0.03000,178
s_l_0_5,free,trim,40,1849.25,2509.27,0.740930,2.5708335,degree,0.003,0.03000,178
s_l_0_5,free,trim,41,1965.62,2443.83,0.796578,3.0342172,degree,0.003,0.03000,178
s_l_0_5,free,trim,42,1966.59,2489.67,0.797039,2.7096464,degree,0.003,0.03000,178
s_l_0_5,free,trim,43,2082.21,2437.98,0.852334,3.0756606,degree,0.003,0.03000,178
s_l_0_5,free,trim,44,2199.88,2420.45,0.908602,3.1998060,degree,0.003,0.03000,178
s_l_0_5,free,trim,45,2201.16,2468.30,0.909215,2.8609512,degree,0.003,0.03000,178
s_l_0_5,free,trim,46,2316.83,2419.41,0.964532,3.2071764,degree,0.003,0.03000,178
s_l_0_5,free,trim,47,2317.45,2452.32,0.964826,2.9741323,degree,0.003,0.03000,178
s_l_0_5,free,sinkage_over_draught,1,576.00,2834.00,0.132040,0.0090480,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,2,639.00,2816.00,0.162168,0.0132966,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,3,693.00,2809.00,0.187991,0.0149489,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,4,740.00,2788.00,0.210468,0.0199056,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,5,787.00,2773.00,0.232944,0.0234461,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,6,812.00,2755.00,0.244899,0.0276947,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,7,832.00,2742.00,0.254463,0.0307632,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,8,863.00,2727.00,0.269288,0.0343037,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,9,881.00,2729.00,0.277896,0.0338316,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,10,907.00,2706.00,0.290329,0.0392604,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,11,927.00,2696.00,0.299894,0.0416208,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,12,953.00,2676.00,0.312327,0.0463415,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,13,972.00,2672.00,0.321413,0.0472856,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,14,999.00,2636.00,0.334325,0.0557828,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,15,1042.00,2578.00,0.354888,0.0694729,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,16,1045.00,2597.00,0.356323,0.0649882,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,17,1068.00,2555.00,0.367322,0.0749017,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,18,1093.00,2520.00,0.379277,0.0831629,dimensionless,0.003,0.00100,178
